sport,event,year,athlete_id,country_id,medal
Track and Field,Women's 20 kilometres Walk,2016,6226,96,
Track and Field,Men's 400 metres Hurdles,2016,6309,163,
Track and Field,Women's 400 metres,2016,6311,147,
Track and Field,Women's 800 metres,2016,6377,118,
Swimming,Swimming Women's 100 metres Butterfly,2016,6385,201,
Track and Field,Men's High Jump,2016,6406,52,
Track and Field,"Women's 3,000 metres Steeplechase",2016,6427,86,
Track and Field,Men's Triple Jump,2016,6433,13,
Track and Field,Men's High Jump,2016,6660,11,
Track and Field,Men's Javelin Throw,2016,6663,149,
Swimming,Swimming Women's 200 metres Breaststroke,2016,6739,171,
Track and Field,Men's 20 kilometres Walk,2016,6778,26,
Track and Field,"Women's 1,500 metres",2016,6843,178,
Track and Field,Men's 100 metres,2016,6888,7,
Track and Field,Men's Discus Throw,2016,6911,195,
Track and Field,Men's 4 x 100 metres Relay,2016,6912,93,Gold
Track and Field,Men's 110 metres Hurdles,2016,6969,84,
Track and Field,Men's High Jump,2016,7014,73,
Swimming,Swimming Women's 100 metres Backstroke,2016,7020,195,Silver
Swimming,Swimming Women's 4 x 100 metres Medley Relay,2016,7020,195,Gold
Track and Field,Women's 800 metres,2016,7048,175,
Swimming,Swimming Men's 100 metres Breaststroke,2016,7133,96,
Swimming,Swimming Men's 200 metres Breaststroke,2016,7133,96,Gold
Track and Field,Women's 800 metres,2016,7187,108,
Track and Field,Men's 4 x 400 metres Relay,2016,7226,26,
Track and Field,"Men's 5,000 metres",2016,7246,15,
Swimming,Swimming Women's 200 metres Freestyle,2016,7347,67,
Swimming,Swimming Women's 400 metres Freestyle,2016,7347,67,
Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,2016,7347,67,
Track and Field,Men's Pole Vault,2016,7348,52,
Swimming,Swimming Men's 100 metres Backstroke,2016,7354,84,
Swimming,Swimming Men's 4 x 100 metres Medley Relay,2016,7354,84,
Track and Field,Men's 200 metres,2016,7379,42,
Track and Field,Women's Long Jump,2016,7387,62,
Track and Field,Women's 400 metres,2016,7435,134,
Track and Field,"Men's 3,000 metres Steeplechase",2016,7439,92,
Swimming,Swimming Men's 400 metres Freestyle,2016,7475,138,
Track and Field,Men's High Jump,2016,7532,74,
Track and Field,Men's 50 kilometres Walk,2016,7593,193,
Track and Field,Women's 100 metres,2016,7604,187,
Track and Field,Women's 4 x 100 metres Relay,2016,7604,187,
Swimming,Swimming Men's 200 metres Freestyle,2016,7608,95,
Swimming,Swimming Women's 50 metres Freestyle,2016,7609,95,
Swimming,Swimming Women's 200 metres Individual Medley,2016,7678,146,
Swimming,Swimming Men's 100 metres Breaststroke,2016,7707,180,
Swimming,Swimming Men's 50 metres Freestyle,2016,7715,103,
